Sample	GeneID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	9875	45337046	0.10977215189873418
HepG2	ENSG00000133112	9875	45337294	0.330126582278481
HepG2	ENSG00000133112	9875	45336884	0.12415189873417722
HepG2	ENSG00000133112	9875	45337310	0.1109873417721519
HepG2	ENSG00000196136	6234	94614956	0.44096888033365417
HepG2	ENSG00000196136	6234	94614769	0.07828039781841514
HepG2	ENSG00000196136	6234	94614893	0.10218158485723453
HepG2	ENSG00000196136	6234	94614605	0.19746551170997753
HepG2	ENSG00000196136	6234	94615034	0.0741097208854668
HepG2	ENSG00000196136	6234	94615088	0.0014436958614051972
HepG2	ENSG00000213741	5249	49577721	0.0020956372642408076
HepG2	ENSG00000163993	2466	6697033	0.1597729115977291
HepG2	ENSG00000189060	1117	37806028	0.17367949865711726
HepG2	ENSG00000156508	5481	73517709	0.16675789089582194
HepG2	ENSG00000186468	1267	82274113	0.004735595895816891
HepG2	ENSG00000075624	1859	5527743	0.18773534158149544
HepG2	ENSG00000075624	1859	5527533	0.24314147391070468
HepG2	ENSG00000101439	1986	23633842	0.2104733131923464
HepG2	ENSG00000101439	1986	23637702	0.06998992950654583
HepG2	ENSG00000034510	1832	84906590	0.19486899563318777
HepG2	ENSG00000162244	2503	51993720	0.23811426288453855
HepG2	ENSG00000130513	1265	18388919	0.31146245059288535
HepG2	ENSG00000130513	1265	18389102	0.09644268774703557
HepG2	ENSG00000176153	1107	64939400	0.26377597109304424
HepG2	ENSG00000187134	1367	4966084	0.0021945866861741038
HepG2	ENSG00000167658	2143	3976468	0.20205319645356976
HepG2	ENSG00000167658	2143	3976520	0.1791880541297247
HepG2	ENSG00000167658	2143	3976328	0.2281847876808213
HepG2	ENSG00000143878	333	20448106	0.18618618618618618
HepG2	ENSG00000143878	333	20448154	0.09009009009009009
HepG2	ENSG00000143878	333	20448659	0.3663663663663664
HepG2	ENSG00000143878	333	20447659	0.10510510510510511
HepG2	ENSG00000143878	333	20448207	0.17717717717717718
HepG2	ENSG00000143878	333	20447734	0.11411411411411411
HepG2	ENSG00000132386	1571	1777349	0.1769573520050923
HepG2	ENSG00000132386	1571	1777430	0.06492679821769573
HepG2	ENSG00000169564	488	70087770	0.2520491803278688
HepG2	ENSG00000100804	870	23026032	0.1
HepG2	ENSG00000100804	870	23034822	0.09540229885057472
HepG2	ENSG00000135069	781	78329391	0.4379001280409731
HepG2	ENSG00000135069	781	78329262	0.056338028169014086
HepG2	ENSG00000250722	952	42801224	0.17016806722689076
HepG2	ENSG00000125968	688	31606309	0.29069767441860467
HepG2	ENSG00000145741	1201	73505379	0.07826810990840966
HepG2	ENSG00000151655	794	7727767	0.1070528967254408
HepG2	ENSG00000134333	1070	18407398	0.3710280373831776
HepG2	ENSG00000132507	623	7311909	0.10593900481540931
HepG2	ENSG00000166794	645	64155887	0.4868217054263566
HepG2	ENSG00000213719	666	31730829	0.21621621621621623
HepG2	ENSG00000213719	666	31730764	0.10510510510510511
HepG2	ENSG00000169908	576	149369327	0.1579861111111111
HepG2	ENSG00000187840	714	38059928	0.28431372549019607
HepG2	ENSG00000187840	714	38060209	0.13445378151260504
HepG2	ENSG00000166710	974	44715591	0.16837782340862423
HepG2	ENSG00000172216	286	50192440	0.4755244755244755
HepG2	ENSG00000172216	286	50191581	0.21678321678321677
HepG2	ENSG00000172216	286	50192112	0.1993006993006993
HepG2	ENSG00000044574	650	125236553	0.6046153846153847
HepG2	ENSG00000117394	697	42926692	0.12195121951219512
HepG2	ENSG00000117394	697	42926654	0.13773314203730272
HepG2	ENSG00000117394	697	42926881	0.38737446197991393
HepG2	ENSG00000117394	697	42926639	0.2611190817790531
HepG2	ENSG00000117394	697	42926848	0.1908177905308465
HepG2	ENSG00000117394	697	42926965	0.22955523672883787
HepG2	ENSG00000100867	659	23636669	0.19726858877086495
HepG2	ENSG00000100867	659	23645427	0.13808801213960548
HepG2	ENSG00000100867	659	23636555	0.07587253414264036
HepG2	ENSG00000100867	659	23645159	0.06980273141122914
HepG2	ENSG00000167004	743	43771249	0.48048452220726784
HepG2	ENSG00000135486	758	54284712	0.2532981530343008
HepG2	ENSG00000130522	282	18280261	0.23404255319148937
HepG2	ENSG00000130522	282	18280365	0.1099290780141844
HepG2	ENSG00000162545	131	20482746	0.12213740458015267
HepG2	ENSG00000162545	131	20482914	0.061068702290076333
HepG2	ENSG00000123416	614	49129373	0.03908794788273615
HepG2	ENSG00000182512	398	95544174	0.6582914572864321
HepG2	ENSG00000182512	398	95544049	0.11055276381909548
HepG2	ENSG00000182512	398	95544310	0.30904522613065327
HepG2	ENSG00000179918	308	30445315	0.3116883116883117
HepG2	ENSG00000179918	308	30444356	0.22077922077922077
HepG2	ENSG00000179918	308	30443976	0.22077922077922077
HepG2	ENSG00000179918	308	30445369	0.1525974025974026
HepG2	ENSG00000179918	308	30445503	0.07792207792207792
HepG2	ENSG00000179918	308	30443773	0.17857142857142858
