Sample	GeneID	IsoformID	Coverage	m6A_Site	ModFreq
HepG2	ENSG00000133112	ENST00000530705_0	4006	45336884	0.3569645531702446
HepG2	ENSG00000133112	ENST00000530705_0	4006	45337046	0.327009485771343
HepG2	ENSG00000133112	ENST00000530705_0	4006	45337294	0.22441337993010485
HepG2	ENSG00000133112	ENST00000530705_0	4006	45337310	0.08512231652521218
HepG2	ENSG00000133112	ENST00000530705_1	13656	45337294	0.21353251318101935
HepG2	ENSG00000133112	ENST00000530705_1	13656	45337310	0.0580697129466901
HepG2	ENSG00000133112	ENST00000379056_0	35	45337046	0.22857142857142856
HepG2	ENSG00000133112	ENST00000379056_0	35	45337294	0.14285714285714285
HepG2	ENSG00000133112	ENST00000379056_0	35	45336884	0.34285714285714286
HepG2	ENSG00000133112	ENST00000379056_0	35	45337310	0.08571428571428572
HepG2	ENSG00000133112	ENST00000379056_1	96	45337294	0.23958333333333334
HepG2	ENSG00000133112	ENST00000379056_1	96	45337310	0.03125
HepG2	ENSG00000196136	ENST00000393078_0	9216	94614605	0.16341145833333334
HepG2	ENSG00000196136	ENST00000393078_0	9216	94614956	0.3591579861111111
HepG2	ENSG00000196136	ENST00000393078_0	9216	94614769	0.036566840277777776
HepG2	ENSG00000196136	ENST00000393078_0	9216	94614893	0.03493923611111111
HepG2	ENSG00000196136	ENST00000393078_0	9216	94615034	0.055013020833333336
HepG2	ENSG00000196136	ENST00000393078_0	9216	94615088	0.001193576388888889
HepG2	ENSG00000196136	ENST00000556968_0	44	94614956	0.4318181818181818
HepG2	ENSG00000196136	ENST00000556968_0	44	94614605	0.13636363636363635
HepG2	ENSG00000196136	ENST00000556968_0	44	94615034	0.045454545454545456
HepG2	ENSG00000196136	ENST00000556968_0	44	94614893	0.022727272727272728
HepG2	ENSG00000196136	ENST00000556968_0	44	94614769	0.022727272727272728
HepG2	ENSG00000213741	ENST00000396020_0	52	49577721	0.15384615384615385
HepG2	ENSG00000163993	ENST00000296370_0	4487	6697033	0.1060842433697348
HepG2	ENSG00000189060	ENST00000340857_0	2562	37806028	0.11631537861046058
HepG2	ENSG00000156508	ENST00000309268_0	2751	73517709	0.057433660487095604
HepG2	ENSG00000186468	ENST00000296674_0	33	82274113	0.06060606060606061
HepG2	ENSG00000075624	ENST00000646664_0	3654	5527743	0.07717569786535304
HepG2	ENSG00000075624	ENST00000646664_0	3654	5527533	0.15571975916803504
HepG2	ENSG00000101439	ENST00000376925_0	2271	23633842	0.12285336856010567
HepG2	ENSG00000101439	ENST00000376925_0	2271	23637702	0.05328049317481286
HepG2	ENSG00000034510	ENST00000233143_0	2886	84906590	0.12404712404712405
HepG2	ENSG00000162244	ENST00000294189_0	1705	51993720	0.19882697947214076
HepG2	ENSG00000130513	ENST00000252809_0	3149	18388919	0.14925373134328357
HepG2	ENSG00000130513	ENST00000252809_0	3149	18389102	0.06922832645284217
HepG2	ENSG00000176153	ENST00000389614_0	2942	64939400	0.18422841604350781
HepG2	ENSG00000187134	ENST00000380872_0	2660	4966084	0.00037593984962406017
HepG2	ENSG00000167658	ENST00000309311_0	2197	3976468	0.1347291761492945
HepG2	ENSG00000167658	ENST00000309311_0	2197	3976328	0.108329540282203
HepG2	ENSG00000167658	ENST00000309311_0	2197	3976520	0.11060537096040055
HepG2	ENSG00000143878	ENST00000272233_0	846	20448154	0.1276595744680851
HepG2	ENSG00000143878	ENST00000272233_0	846	20448207	0.12056737588652482
HepG2	ENSG00000143878	ENST00000272233_0	846	20448659	0.22104018912529552
